TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612737,Atlanta Hawks,74,34,40,0.459,48.3,43.3,92.8,0.466,13.8,37.7,0.366,18.9,23.5,0.802,12.8,31.9,44.7,26.4,13.2,7.5,4.6,5.7,18.5,19.5,119.2,-1.4,11,21,21,21,8,10,1,20,6,7,16,6,6,8,2,22,6,17,14,16,23,23,11,8,5,20,2023-24
1610612738,Boston Celtics,74,58,16,0.784,48.4,43.8,90.1,0.486,16.5,42.4,0.39,16.8,20.8,0.809,10.7,35.8,46.4,26.6,12.0,6.6,6.5,3.7,16.4,17.8,120.9,11.4,11,1,1,1,5,4,8,9,1,1,2,18,23,6,13,1,2,14,2,28,2,1,2,29,2,1,2023-24
1610612751,Brooklyn Nets,75,29,46,0.387,48.3,41.0,89.6,0.457,13.6,37.2,0.364,15.6,20.7,0.757,11.5,32.3,43.8,26.1,12.9,7.0,5.0,4.8,18.8,18.1,111.1,-2.4,1,22,22,22,13,25,12,28,8,8,18,26,24,26,7,21,12,18,10,23,15,12,15,24,24,22,2023-24
1610612766,Charlotte Hornets,74,18,56,0.243,48.1,40.0,87.5,0.458,11.9,33.9,0.351,14.4,18.5,0.779,9.7,30.9,40.6,24.6,13.7,6.7,4.4,5.0,18.2,17.5,106.4,-10.6,11,27,27,27,21,27,23,27,22,17,24,30,30,15,24,29,30,28,18,27,26,17,8,30,29,30,2023-24
1610612741,Chicago Bulls,75,36,39,0.48,48.7,41.8,89.3,0.468,11.7,32.4,0.36,16.9,21.2,0.794,10.9,32.7,43.6,25.1,12.2,7.6,4.8,5.0,18.8,18.9,112.1,-1.5,1,20,20,20,1,18,14,18,25,25,20,17,19,9,10,19,16,23,3,12,17,16,16,15,23,21,2023-24
1610612739,Cleveland Cavaliers,75,45,30,0.6,48.3,41.7,87.1,0.479,13.6,37.1,0.366,15.6,20.4,0.764,9.9,33.7,43.5,28.0,13.5,7.2,4.7,4.9,17.9,18.9,112.6,2.8,1,7,9,9,13,20,25,13,7,9,15,27,25,24,22,9,17,8,17,20,22,14,6,16,21,9,2023-24
1610612742,Dallas Mavericks,74,45,29,0.608,48.0,43.4,89.7,0.484,14.7,39.4,0.373,17.2,22.8,0.755,9.7,32.9,42.6,25.8,12.2,6.9,4.8,4.0,18.5,20.5,118.7,2.4,11,7,7,7,30,9,11,11,2,2,11,15,10,27,23,16,20,20,4,25,19,2,13,2,6,11,2023-24
1610612743,Denver Nuggets,75,52,23,0.693,48.1,43.9,88.6,0.495,11.5,30.9,0.373,15.3,20.0,0.765,10.8,33.4,44.3,29.3,12.6,7.1,5.4,4.9,18.2,18.0,114.6,4.8,1,2,3,3,28,3,19,5,28,30,12,29,29,22,11,11,9,3,7,22,11,13,10,27,14,5,2023-24
1610612765,Detroit Pistons,74,13,61,0.176,48.2,41.1,88.4,0.465,11.0,31.7,0.348,17.4,22.1,0.788,10.8,33.1,43.9,25.8,15.4,6.3,4.7,5.9,21.3,18.1,110.6,-8.9,11,30,29,30,20,24,20,21,30,27,28,14,14,11,12,13,11,19,29,30,21,24,29,23,25,27,2023-24
1610612744,Golden State Warriors,74,40,34,0.541,48.4,43.7,92.2,0.474,14.7,39.2,0.375,15.8,20.3,0.778,12.4,34.4,46.8,29.2,14.2,6.9,4.4,5.0,19.7,18.2,118.0,2.1,11,17,17,17,5,5,3,15,3,3,10,24,26,16,3,5,1,4,23,24,27,15,22,21,7,15,2023-24
1610612745,Houston Rockets,74,38,36,0.514,48.4,41.7,90.8,0.46,12.5,35.6,0.353,18.1,23.5,0.772,11.5,34.5,46.0,24.7,12.8,7.8,4.6,5.9,20.8,19.8,114.2,1.6,11,19,19,19,5,19,6,26,17,13,23,9,7,19,6,4,3,26,9,7,24,25,28,6,16,16,2023-24
1610612754,Indiana Pacers,75,42,33,0.56,48.1,46.7,92.4,0.505,13.2,35.2,0.375,16.2,20.8,0.778,10.0,31.4,41.4,30.6,13.0,7.7,5.8,5.4,21.4,18.4,122.7,2.2,1,14,14,14,28,1,2,1,12,14,9,21,22,17,20,28,28,1,11,10,8,21,30,20,1,13,2023-24
1610612746,LA Clippers,74,47,27,0.635,48.1,42.5,86.3,0.493,12.8,33.1,0.387,18.4,22.4,0.822,9.9,32.5,42.4,25.7,13.0,7.8,5.2,4.6,18.5,19.1,116.3,3.6,11,5,5,5,24,15,26,6,14,20,3,7,12,4,21,20,23,22,13,7,13,7,11,11,11,7,2023-24
1610612747,Los Angeles Lakers,75,42,33,0.56,48.5,43.5,87.4,0.498,11.7,31.1,0.377,18.9,24.2,0.78,8.1,35.1,43.2,28.5,13.8,7.2,5.5,4.8,15.8,19.8,117.7,0.2,1,14,14,14,4,8,24,3,24,29,7,4,3,13,30,2,18,7,20,18,10,10,1,5,8,19,2023-24
1610612763,Memphis Grizzlies,74,24,50,0.324,48.3,38.2,87.7,0.435,13.4,38.5,0.347,16.2,21.3,0.761,10.5,31.7,42.2,24.9,15.2,8.0,6.2,6.4,19.2,19.1,105.9,-7.3,11,24,24,24,16,30,21,30,10,5,29,20,18,25,17,24,24,24,27,5,4,28,20,12,30,26,2023-24
1610612748,Miami Heat,74,41,33,0.554,48.1,39.8,85.7,0.464,12.4,33.4,0.37,18.0,22.2,0.813,9.3,32.8,42.1,25.7,12.5,7.6,3.4,4.8,17.4,19.0,109.9,1.4,11,16,14,16,24,28,28,23,18,18,13,10,13,5,27,18,25,21,5,13,30,11,3,14,27,17,2023-24
1610612749,Milwaukee Bucks,74,47,27,0.635,48.3,43.5,88.7,0.491,14.3,38.1,0.376,19.0,24.6,0.772,9.3,34.9,44.2,26.6,12.7,6.8,5.0,4.2,19.5,19.6,120.4,3.5,11,5,5,5,8,7,18,7,4,6,8,3,1,20,28,3,10,14,8,26,16,3,21,7,4,8,2023-24
1610612750,Minnesota Timberwolves,74,51,23,0.689,48.3,41.2,85.1,0.485,12.6,32.6,0.386,17.8,22.9,0.777,9.4,34.4,43.8,26.5,14.1,7.7,6.0,4.6,18.9,19.8,112.9,6.6,11,4,3,4,8,22,29,10,15,23,4,11,9,18,25,6,13,16,22,11,6,8,18,4,18,3,2023-24
1610612740,New Orleans Pelicans,74,45,29,0.608,48.1,42.6,87.6,0.487,12.3,32.4,0.378,17.7,23.1,0.766,10.6,33.9,44.4,27.0,13.0,8.2,4.8,5.3,18.6,18.5,115.2,5.0,11,7,7,7,24,13,22,8,19,24,6,12,8,21,16,8,7,12,12,3,18,20,14,18,13,4,2023-24
1610612752,New York Knicks,74,44,30,0.595,48.1,41.2,89.0,0.463,13.2,36.2,0.365,17.0,21.9,0.78,12.9,32.9,45.8,24.2,13.3,7.4,4.1,5.2,17.8,19.1,112.6,4.7,11,10,9,10,24,23,17,25,11,11,17,16,15,14,1,16,5,29,15,17,28,19,5,10,20,6,2023-24
1610612760,Oklahoma City Thunder,74,52,22,0.703,48.3,44.7,89.4,0.5,13.4,34.3,0.391,17.6,21.4,0.825,8.8,33.0,41.9,26.9,12.5,8.3,6.6,5.1,19.2,19.0,120.4,7.4,11,2,2,2,8,2,13,2,9,16,1,13,16,2,29,15,27,13,6,2,1,18,19,13,3,2,2023-24
1610612753,Orlando Magic,74,43,31,0.581,48.3,40.5,84.9,0.477,11.1,31.3,0.355,18.4,24.5,0.752,10.6,31.9,42.5,24.7,14.9,8.1,5.3,4.7,19.9,20.9,110.5,2.3,11,11,11,11,16,26,30,14,29,28,21,8,2,28,14,23,22,25,24,4,12,9,24,1,26,12,2023-24
1610612755,Philadelphia 76ers,75,40,35,0.533,48.1,41.4,89.1,0.464,11.9,32.9,0.361,19.7,23.9,0.825,11.1,31.5,42.7,24.6,11.8,8.3,6.0,6.1,20.5,18.7,114.4,2.2,1,17,18,18,22,21,16,22,23,22,19,1,4,3,8,27,19,27,1,1,7,27,27,17,15,14,2023-24
1610612756,Phoenix Suns,74,43,31,0.581,48.3,42.7,86.2,0.495,12.3,32.2,0.381,19.0,23.7,0.804,10.2,34.1,44.3,27.0,14.9,7.2,6.1,4.6,18.0,19.9,116.7,2.6,11,11,11,11,16,12,27,4,19,26,5,2,5,7,19,7,8,11,25,21,5,4,7,3,10,10,2023-24
1610612757,Portland Trail Blazers,74,19,55,0.257,48.5,39.5,89.2,0.443,11.6,33.1,0.351,16.5,20.9,0.792,12.2,29.7,41.9,23.0,15.3,7.7,4.4,6.4,20.4,18.1,107.2,-9.0,11,26,26,26,2,29,15,29,27,21,25,19,21,10,5,30,26,30,28,9,25,30,26,26,28,28,2023-24
1610612758,Sacramento Kings,74,43,31,0.581,48.5,43.7,90.9,0.481,14.2,38.8,0.367,15.7,21.0,0.745,10.6,33.1,43.7,28.6,13.3,7.6,4.1,4.6,20.0,18.5,117.3,1.2,11,11,11,11,3,6,5,12,5,4,14,25,20,30,15,14,14,6,16,14,28,4,25,19,9,18,2023-24
1610612759,San Antonio Spurs,75,18,57,0.24,48.3,41.9,90.5,0.463,12.5,36.0,0.348,15.9,20.2,0.784,10.4,33.3,43.7,29.8,15.0,7.2,6.2,4.6,17.5,18.1,112.2,-7.0,1,27,28,28,19,17,7,24,16,12,27,23,27,12,18,12,15,2,26,19,3,6,4,22,22,25,2023-24
1610612761,Toronto Raptors,74,23,51,0.311,48.3,42.5,89.8,0.474,11.6,33.2,0.35,16.0,21.3,0.749,10.9,31.6,42.5,29.0,13.7,7.8,4.8,5.5,18.2,18.1,112.7,-5.7,11,25,25,25,8,14,10,16,26,19,26,22,17,29,9,26,21,5,18,6,20,22,9,25,19,24,2023-24
1610612762,Utah Jazz,75,29,46,0.387,48.3,42.1,90.1,0.468,13.0,36.7,0.355,18.9,22.7,0.831,12.3,33.5,45.8,27.6,15.6,6.5,5.7,6.4,18.8,19.5,116.2,-4.4,1,22,22,22,13,16,9,19,13,10,22,5,11,1,4,10,4,10,30,29,9,29,17,9,12,23,2023-24
1610612764,Washington Wizards,75,14,61,0.187,48.1,42.8,91.4,0.469,12.2,35.2,0.347,15.4,20.1,0.764,9.4,31.7,41.1,27.9,14.1,7.5,5.1,6.0,19.9,17.9,113.3,-9.7,1,29,29,29,22,11,4,17,21,15,30,28,28,23,26,25,29,9,21,15,14,26,23,28,17,29,2023-24
1610612737,Atlanta Hawks,82,41,41,0.5,48.4,44.6,92.4,0.483,10.8,30.5,0.352,18.5,22.6,0.818,11.2,33.2,44.4,25.0,12.9,7.1,4.9,5.0,18.8,19.7,118.4,0.3,1,17,17,17,8,1,3,9,26,28,21,16,20,3,9,12,10,18,3,18,12,21,6,19,3,18,2022-23
1610612738,Boston Celtics,82,57,25,0.695,48.7,42.2,88.8,0.475,16.0,42.6,0.377,17.5,21.6,0.812,9.7,35.6,45.3,26.7,13.4,6.4,5.2,3.9,18.8,19.1,117.9,6.5,1,2,2,2,1,13,15,14,2,2,6,24,28,4,20,3,7,7,7,27,6,4,7,25,4,1,2022-23
1610612751,Brooklyn Nets,82,45,37,0.549,48.1,41.5,85.1,0.487,12.8,33.8,0.378,17.7,22.1,0.8,8.2,32.3,40.5,25.5,13.7,7.1,6.2,3.9,21.1,18.5,113.4,0.9,1,9,9,9,29,21,28,7,9,13,5,19,25,7,29,20,29,13,14,16,1,3,25,28,20,15,2022-23
1610612766,Charlotte Hornets,82,27,55,0.329,48.4,41.3,90.4,0.457,10.7,32.5,0.33,17.6,23.6,0.749,11.0,33.5,44.5,25.1,14.2,7.7,5.2,5.7,20.3,20.3,111.0,-6.2,1,27,27,27,12,22,6,29,27,18,29,20,17,27,12,10,9,17,17,9,8,29,17,13,27,27,2022-23
1610612741,Chicago Bulls,82,40,42,0.488,48.5,42.5,86.8,0.49,10.4,28.9,0.361,17.6,21.8,0.809,8.5,33.9,42.4,24.5,13.4,7.9,4.5,4.7,18.9,18.7,113.1,1.3,1,19,19,19,4,11,21,4,30,30,16,21,26,5,28,9,22,20,8,7,19,18,8,27,22,13,2022-23
1610612739,Cleveland Cavaliers,82,51,31,0.622,48.5,41.6,85.2,0.488,11.6,31.6,0.367,17.5,22.5,0.78,9.7,31.4,41.1,24.9,13.3,7.1,4.7,4.4,19.0,20.4,112.3,5.4,1,5,5,5,5,20,27,5,19,24,12,23,21,19,22,25,25,19,6,15,14,13,9,10,25,2,2022-23
1610612742,Dallas Mavericks,82,38,44,0.463,48.6,40.0,84.3,0.475,15.2,41.0,0.371,19.0,25.1,0.755,7.6,31.2,38.8,22.9,12.2,6.3,3.7,3.8,20.7,21.8,114.2,0.1,1,21,21,21,3,28,29,15,3,3,8,12,6,23,30,27,30,28,2,29,28,2,23,1,16,19,2022-23
1610612743,Denver Nuggets,82,53,29,0.646,48.2,43.6,86.4,0.504,11.8,31.2,0.379,16.8,22.4,0.751,10.1,32.9,43.0,28.9,14.5,7.5,4.5,4.2,18.6,19.5,115.8,3.3,1,4,4,4,25,3,22,1,18,25,4,27,24,26,17,15,19,2,20,11,20,10,4,23,12,6,2022-23
1610612765,Detroit Pistons,82,17,65,0.207,48.3,39.6,87.1,0.454,11.4,32.4,0.351,19.8,25.7,0.771,11.2,31.3,42.4,23.0,15.1,7.0,3.8,5.5,22.1,21.0,110.3,-8.2,1,30,30,30,18,29,19,30,20,19,22,4,2,21,10,26,21,27,25,20,27,27,30,3,29,29,2022-23
1610612744,Golden State Warriors,82,44,38,0.537,48.4,43.1,90.2,0.479,16.6,43.2,0.385,16.0,20.2,0.794,10.5,34.1,44.6,29.8,16.3,7.2,4.0,4.0,21.4,18.4,118.9,1.8,1,11,11,11,12,5,8,12,1,1,2,29,30,9,14,7,8,1,30,14,25,6,28,30,2,11,2022-23
1610612745,Houston Rockets,82,22,60,0.268,48.2,40.6,88.9,0.457,10.4,31.9,0.327,19.1,25.3,0.754,13.4,32.9,46.3,22.4,16.2,7.3,4.6,6.2,20.5,20.6,110.7,-7.9,1,28,28,28,25,25,14,28,29,22,30,10,4,25,1,17,4,30,29,13,18,30,21,6,28,28,2022-23
1610612754,Indiana Pacers,82,35,47,0.427,48.2,42.0,89.6,0.469,13.6,37.0,0.367,18.7,23.7,0.79,10.1,31.4,41.5,27.0,14.9,7.7,5.8,5.3,21.2,20.2,116.3,-3.2,1,23,23,23,25,17,11,22,6,7,11,14,14,13,16,24,24,6,23,10,2,26,27,14,10,25,2022-23
1610612746,LA Clippers,82,44,38,0.537,48.4,41.1,86.1,0.477,12.7,33.3,0.381,18.7,23.9,0.781,9.8,33.4,43.2,23.9,14.2,7.1,4.4,4.2,19.5,19.6,113.6,0.5,1,11,11,11,12,23,24,13,10,14,3,15,11,18,19,11,17,24,18,18,21,10,10,21,18,17,2022-23
1610612747,Los Angeles Lakers,82,43,39,0.524,48.5,42.9,89.0,0.482,10.8,31.2,0.346,20.6,26.6,0.775,10.0,35.7,45.7,25.3,14.1,6.4,4.6,5.1,17.9,21.5,117.2,0.6,1,14,14,14,5,8,13,10,24,26,25,2,1,20,18,2,6,15,15,26,16,23,1,2,6,16,2022-23
1610612763,Memphis Grizzlies,82,51,31,0.622,48.2,43.7,92.1,0.475,12.0,34.2,0.351,17.5,23.8,0.733,12.0,34.6,46.6,26.0,13.6,8.3,5.8,5.2,20.0,20.0,116.9,3.9,1,5,5,5,22,2,4,16,16,11,23,25,13,30,4,4,2,9,12,3,3,24,14,16,9,4,2022-23
1610612748,Miami Heat,82,44,38,0.537,48.3,39.2,85.3,0.46,12.0,34.8,0.344,19.1,23.0,0.831,9.7,30.9,40.6,23.8,13.5,8.0,3.0,3.8,18.5,20.0,109.5,-0.3,1,11,11,11,18,30,26,26,17,10,27,10,19,2,20,29,27,25,9,6,30,1,3,17,30,21,2022-23
1610612749,Milwaukee Bucks,82,58,24,0.707,48.4,42.7,90.4,0.473,14.8,40.3,0.368,16.6,22.4,0.743,11.1,37.5,48.6,25.8,14.6,6.4,4.9,3.9,18.0,19.0,116.9,3.6,1,1,1,1,12,10,7,19,4,4,10,28,23,29,11,1,1,12,22,27,11,5,2,26,8,5,2022-23
1610612750,Minnesota Timberwolves,82,42,40,0.512,48.4,42.9,87.4,0.49,12.2,33.3,0.365,17.9,23.7,0.755,9.1,32.8,41.9,26.2,15.3,8.0,5.4,4.1,21.6,20.2,115.8,0.0,1,15,15,15,12,9,18,3,14,15,13,18,16,24,26,18,23,8,27,5,4,8,29,15,13,20,2022-23
1610612740,New Orleans Pelicans,82,42,40,0.512,48.4,42.0,87.6,0.48,11.0,30.1,0.364,19.3,24.4,0.793,10.6,33.1,43.7,25.9,14.6,8.3,4.1,4.7,20.5,20.4,114.4,1.9,1,15,15,15,8,16,17,11,23,29,15,8,10,11,13,13,13,11,21,2,24,17,20,12,15,10,2022-23
1610612752,New York Knicks,82,47,35,0.573,48.7,42.0,89.4,0.47,12.6,35.7,0.354,19.4,25.5,0.761,12.6,34.0,46.6,22.9,13.0,6.4,4.1,4.5,20.3,20.7,116.0,2.9,1,8,8,8,2,17,12,20,11,8,19,7,3,22,3,8,3,28,4,25,23,14,18,5,11,7,2022-23
1610612760,Oklahoma City Thunder,82,40,42,0.488,48.4,43.1,92.6,0.465,12.1,34.1,0.356,19.2,23.7,0.809,11.4,32.3,43.7,24.4,13.0,8.2,4.2,5.5,21.0,20.4,117.5,1.1,1,19,19,19,8,6,2,24,15,12,17,9,14,6,8,21,14,21,5,4,22,28,24,10,5,14,2022-23
1610612753,Orlando Magic,82,34,48,0.415,48.2,40.5,86.3,0.47,10.8,31.1,0.346,19.6,25.0,0.784,10.2,33.1,43.2,23.2,15.1,7.4,4.7,5.1,20.1,20.5,111.4,-2.6,1,25,25,25,22,26,23,21,25,27,24,6,8,16,15,14,16,26,24,12,15,22,16,7,26,24,2022-23
1610612755,Philadelphia 76ers,82,54,28,0.659,48.5,40.8,83.8,0.487,12.6,32.6,0.387,21.0,25.1,0.835,8.7,32.2,40.9,25.2,13.7,7.7,4.7,4.6,20.4,19.6,115.2,4.3,1,3,3,3,5,24,30,6,12,16,1,1,5,1,27,22,26,16,13,8,13,16,19,20,14,3,2022-23
1610612756,Phoenix Suns,82,45,37,0.549,48.2,42.1,90.1,0.467,12.2,32.6,0.374,17.2,21.7,0.793,11.8,32.4,44.2,27.3,13.5,7.1,5.3,4.0,21.2,19.9,113.6,2.1,1,9,9,9,22,15,9,23,13,17,7,26,27,10,5,19,11,4,11,16,5,7,26,18,17,9,2022-23
1610612757,Portland Trail Blazers,82,33,49,0.402,48.1,40.5,85.4,0.474,12.9,35.3,0.365,19.6,24.6,0.796,9.4,31.1,40.5,24.2,14.5,6.7,4.6,4.3,20.0,20.5,113.4,-4.0,1,26,26,26,29,27,25,17,8,9,14,5,9,8,24,28,28,22,19,24,17,12,14,8,19,26,2022-23
1610612758,Sacramento Kings,82,48,34,0.585,48.4,43.6,88.2,0.494,13.8,37.3,0.369,19.8,25.1,0.79,9.5,32.9,42.5,27.3,13.5,7.0,3.4,4.2,19.7,20.9,120.7,2.6,1,7,7,7,12,4,16,2,5,6,9,3,7,12,23,15,20,3,9,20,29,9,11,4,1,8,2022-23
1610612759,San Antonio Spurs,82,22,60,0.268,48.4,43.1,92.6,0.465,11.1,32.2,0.345,15.8,21.2,0.743,11.8,31.9,43.7,27.2,15.3,7.0,3.9,5.3,19.9,18.5,113.0,-10.0,1,28,28,28,8,6,1,25,22,20,26,30,29,28,7,23,12,5,26,22,26,25,12,29,23,30,2022-23
1610612761,Toronto Raptors,82,41,41,0.5,48.3,41.9,91.3,0.459,10.7,32.0,0.335,18.4,23.4,0.784,12.7,30.3,43.0,23.9,11.7,9.4,5.2,4.6,20.0,19.6,112.9,1.5,1,17,17,17,18,19,5,27,28,21,28,17,18,17,2,30,18,23,1,1,9,15,13,22,24,12,2022-23
1610612762,Utah Jazz,82,37,45,0.451,48.3,42.5,89.8,0.473,13.3,37.8,0.353,18.7,23.8,0.786,11.8,34.1,45.9,26.0,15.4,6.1,5.2,4.9,20.5,20.5,117.1,-0.9,1,22,22,22,18,12,10,18,7,5,20,13,12,14,6,6,5,10,28,30,7,19,21,9,7,22,2022-23
1610612764,Washington Wizards,82,35,47,0.427,48.2,42.1,86.9,0.485,11.3,31.7,0.356,17.6,22.4,0.785,9.4,34.2,43.6,25.4,14.1,6.8,5.2,5.0,18.8,19.4,113.2,-1.2,1,23,23,23,25,14,20,8,21,23,18,22,22,15,24,5,15,14,16,23,9,20,5,24,21,23,2022-23
1610612737,Atlanta Hawks,82,43,39,0.524,48.1,41.5,88.3,0.47,12.9,34.4,0.374,18.1,22.3,0.812,10.0,33.9,44.0,24.6,11.9,7.2,4.2,4.5,18.7,20.3,113.9,1.6,1,16,16,16,30,11,13,7,11,18,2,3,11,4,17,17,20,15,1,22,23,10,7,6,6,14,2021-22
1610612738,Boston Celtics,82,51,31,0.622,48.5,40.7,87.4,0.466,13.2,37.1,0.356,17.0,20.9,0.816,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,111.8,7.3,1,6,6,6,2,13,18,15,8,9,14,14,24,2,11,4,5,14,13,19,2,11,5,20,12,2,2021-22
1610612751,Brooklyn Nets,82,44,38,0.537,48.2,42.0,88.4,0.475,11.5,31.7,0.361,17.5,21.7,0.805,10.3,34.1,44.4,25.3,14.1,7.1,5.5,4.9,20.4,19.7,112.9,0.8,1,14,14,14,19,5,12,4,24,28,10,10,14,6,14,15,13,10,17,24,5,21,22,16,9,15,2021-22
1610612766,Charlotte Hornets,82,43,39,0.524,48.5,42.8,91.4,0.468,13.9,38.2,0.365,15.8,21.4,0.74,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,115.3,0.4,1,16,16,16,3,4,3,11,5,6,6,25,19,27,9,21,12,1,10,5,11,12,18,18,4,16,2021-22
1610612741,Chicago Bulls,82,46,36,0.561,48.1,41.7,86.9,0.48,10.6,28.8,0.369,17.5,21.5,0.813,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5.0,18.8,18.2,111.6,-0.4,1,12,12,12,24,7,20,3,29,30,4,9,17,3,29,22,28,19,6,23,25,24,8,28,13,20,2021-22
1610612739,Cleveland Cavaliers,82,44,38,0.537,48.1,39.7,84.6,0.469,11.6,32.8,0.355,16.8,22.1,0.76,10.2,34.0,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20.0,107.8,2.1,1,14,14,14,24,21,29,9,20,22,15,18,12,21,16,16,15,11,22,26,24,15,1,11,25,13,2021-22
1610612742,Dallas Mavericks,82,52,30,0.634,48.2,39.3,85.1,0.461,13.1,37.4,0.35,16.4,21.2,0.771,9.3,33.8,43.0,23.4,12.5,6.7,4.0,3.7,19.7,20.1,108.0,3.3,1,5,5,5,19,25,27,18,10,8,19,22,22,16,24,20,24,25,3,29,28,1,14,10,24,8,2021-22
1610612743,Denver Nuggets,82,48,34,0.585,48.3,41.7,86.3,0.483,12.7,35.9,0.353,16.7,21.0,0.795,9.2,34.9,44.1,27.8,14.5,7.2,3.7,4.8,20.0,19.9,112.7,2.3,1,10,10,10,8,8,23,2,14,13,16,19,23,8,25,9,17,3,26,18,29,17,20,13,10,11,2021-22
1610612765,Detroit Pistons,82,23,59,0.28,48.2,38.2,88.6,0.431,11.3,34.6,0.326,17.2,22.0,0.782,11.0,32.0,43.0,23.5,14.2,7.7,4.8,5.2,21.9,19.8,104.8,-7.7,1,28,28,28,13,29,11,29,26,16,29,13,13,13,8,29,25,24,20,10,14,26,30,14,28,26,2021-22
1610612744,Golden State Warriors,82,53,29,0.646,48.1,40.5,86.4,0.469,14.3,39.4,0.364,15.6,20.3,0.769,9.8,35.7,45.5,27.1,14.9,8.8,4.5,3.9,21.0,18.0,111.0,5.5,1,3,3,3,24,17,21,10,3,3,8,26,26,17,20,2,7,5,29,4,18,2,27,29,15,5,2021-22
1610612745,Houston Rockets,82,20,62,0.244,48.2,39.4,86.4,0.456,13.5,38.7,0.349,17.5,24.5,0.713,9.6,32.4,42.0,23.6,16.5,7.3,4.7,5.8,20.6,22.1,109.7,-8.5,1,30,30,30,19,24,22,24,7,4,21,10,1,30,21,28,30,23,30,17,15,28,26,1,19,29,2021-22
1610612754,Indiana Pacers,82,25,57,0.305,48.5,41.4,89.5,0.463,12.2,35.4,0.344,16.4,21.4,0.768,11.3,32.6,43.9,25.4,14.4,7.1,5.6,4.9,20.4,19.2,111.5,-3.5,1,26,26,26,3,12,7,17,16,15,25,20,18,19,5,26,21,9,23,24,4,20,24,22,14,24,2021-22
1610612746,LA Clippers,82,42,40,0.512,48.2,40.1,87.4,0.458,12.8,34.2,0.374,15.5,19.6,0.793,9.1,34.9,44.0,24.0,13.7,7.4,5.0,4.1,18.6,18.5,108.4,0.0,1,18,18,18,13,20,17,21,12,20,3,27,30,9,26,10,19,16,14,15,8,6,6,26,23,18,2021-22
1610612747,Los Angeles Lakers,82,33,49,0.402,48.7,41.6,88.8,0.469,12.0,34.5,0.347,16.8,23.0,0.732,9.5,34.5,44.0,24.0,14.5,7.6,5.2,4.1,20.2,20.1,112.1,-3.0,1,23,23,23,1,9,10,8,18,17,22,17,9,29,23,12,18,17,27,11,7,5,21,9,11,22,2021-22
